id,text,prediction,annotation,metadata,score,batch_id
0,我爱你,,亲爱的，我想告诉你，我爱你。每当我看到你的笑容，我的心都会融化。你是我生命中最重要的人，没有你的日子就像失去了阳光一样。我愿意为你付出一切，陪你走过每一个难关。请相信我，我会永远爱你，直到永远。,,,0
1,我喜欢你,,亲爱的，我想告诉你一个秘密，那就是我喜欢你。每当我看到你的笑容，我的心就会跳动不已。我喜欢和你在一起的每一刻，因为你让我感到幸福和快乐。,,,0
2,想你了,,亲爱的，你知道吗？我突然觉得心里空落落的，仿佛少了什么重要的东西。每当这个时候，我就会想起你的笑容、你的温柔，还有我们曾经一起度过的那些美好时光。我真的好想你，希望我们能尽快见面，让我再次感受到你的拥抱和关爱。,,,0
3,宝宝,,宝贝，今天你真可爱！看到你的笑容，我的心都要融化了。你的每一个动作都让我心动不已，我真的好爱你。你是我生命中最重要的人，我愿意为你付出一切。宝贝，你知道吗？和你在一起的每一刻都是我最幸福的时刻。,,,0
4,我想你了,,亲爱的，我好想你啊！每天都想着你的笑容、你的声音，想到你就感觉心里暖暖的。你是我生命中最重要的人，没有你的日子就像是失去了灵魂一样。快点回来吧，我想抱着你，感受你的温暖和爱意。我爱你！,,,0
5,在吗,,亲爱的，你在吗？我好想你啊！每天都盼着能和你聊天，听你的声音。你是我生命中最重要的人，没有你的日子就像失去了阳光一样。希望我们能一直在一起，永远不分离。我爱你！,,,0
6,晚安,,亲爱的，今晚的月光真美，就像你的笑容一样温暖。我想你了，希望你也能感受到我的思念。愿你有个甜甜的梦，明天醒来时，我们的爱会更加浓烈。晚安，我的宝贝。,,,0
7,向喜欢的人表达爱意,,亲爱的，我一直都想告诉你，我喜欢你。每当我看到你的笑容，我的心都会跳动不已。我想和你一起走过每一个美好的时刻，分享彼此的喜怒哀乐。你是我生命中最重要的人，我愿意为你付出一切。请给我一个机会，让我成为你的恋人吧。,,,0
8,遇见你是我一生最大的幸运,,亲爱的，你知道吗？遇见你真的是我这一生最大的幸运。每当我看到你的笑容，我的心都会融化。你是我生命中最重要的人，我愿意用我的一生来陪伴你。我爱你，永远永远。,,,0
9,亲爱的,,亲爱的，你今天过得怎么样？我一直在想你呢。你知道吗？我对你的爱越来越深了。每次看到你的笑容，我的心都会跳动不已。你是我生命中最重要的人，我愿意为你付出一切。我爱你，永远爱你。,,,0
10,如何表白你喜欢的人,,亲爱的，我一直都想告诉你，我喜欢你。每当我看到你的笑容，我的心都会跳动不已。你是我生命中最重要的人，我愿意为你付出一切。请给我一个机会，让我成为你的恋人吧。,,,0
11,对恋人说“好想你”,,亲爱的，我好想你啊！每天都想着你的笑容、你的声音，感觉心里空荡荡的。希望我们能尽快见面，抱紧你，感受你的温暖。你是我的唯一，我的爱人，永远爱你！,,,0
12,对爱人撒娇,,宝贝，我今天好想你哦，你能不能陪我聊聊天呢？我好无聊啊，就想听听你的声音。你最近过得怎么样啊？有没有想我呀？我觉得我们好久没见面了，好想念你的拥抱和亲吻。你快点来找我吧，我想和你一起度过美好的时光。,,,0
13,如何夸赞女朋友好看,,亲爱的，你今天真好看！每次看到你都觉得我的心都要被你的美丽融化了。你的笑容像阳光一样温暖，你的眼睛像星星一样闪亮。我真的很幸运能够拥有你这么美丽的女朋友。我爱你！,,,0
14,宝贝,,宝贝，你就像我的阳光，照亮我生活的每一个角落。你的笑容，比任何宝石都更璀璨夺目。我愿意用我全部的热情和爱意，守护你，照顾你。你是我生命中最美的奇迹，我爱你，永远都不会变。,,,0
15,我错了,,宝贝，我知道我错了。我真的很抱歉让你感到不开心。我会努力改正自己的错误，不再让你失望。请原谅我吧，我真的很爱你。,,,0
16,我喜欢你很久了,,亲爱的，我一直都想告诉你，我喜欢你很久了。每当我看到你的笑容，我的心都会跳动不已。你是我生命中最重要的人，我愿意为你付出一切。,,,0
17,老婆,,亲爱的，今天你过得怎么样？我好想你啊！你知道吗，每当我看到你的笑容，我的心都会融化。你是我生命中最重要的人，我愿意为你付出一切。无论遇到什么困难，我们都要一起面对，相互支持。我爱你，永远爱你！,,,0
18,我会一直在你身边陪着你,,亲爱的，无论何时何地，我都会一直在你身边陪伴着你。无论是喜悦还是悲伤，我都会与你分享。因为你是我生命中最重要的人，我愿意为你付出一切。请相信，我们的爱会越来越深，直到永远。,,,0
19,不论结局，我很高兴遇见你,,宝贝，我想告诉你一件事。无论我们的结局如何，我都很高兴遇见你。你给了我很多美好的回忆和感受，让我感受到了爱的力量。我很珍惜我们在一起的时光，即使有一天我们分开了，我也会一直把你放在心里。谢谢你让我成为你的伴侣，我爱你。,,,0
20,爱,,亲爱的，你知道吗？我每天都在想你，想你的笑容，想你的声音。你是我生活中的阳光，你的存在让我的世界变得更加美好。我爱你，不仅仅是因为你的美丽和善良，更是因为你让我感到幸福和满足。我希望我们的爱情能够永恒，我愿意用我的一生来陪伴你，照顾你。,,,0
21,对老婆说我爱你,,亲爱的，你知道吗？每当我看到你的笑容，我的心都会融化。你是我生命中最重要的人，没有你的日子就像失去了阳光。我想告诉你，我爱你，比昨天更爱，却不及明天。,,,0
22,哈哈哈,,亲爱的，你今天真让我开心啊！每次和你聊天都感觉像是在哈哈哈的欢笑中度过。你的幽默和调皮总能让我忍不住笑出声来。和你在一起，我感受到了无尽的快乐和幸福。你就是我的开心果，每天都能给我带来满满的笑声。我爱你，宝贝！,,,0
23,向男朋友撒娇,,亲爱的，我今天好想你哦，你能不能陪我聊聊天呢？我好无聊啊，就想听听你的声音。你最近怎么样啊？有没有想我呀？嘻嘻(RQ),,,0
24,对不起,,亲爱的，我知道我错了。我没有意识到我的行为会伤害到你。我真的很后悔，希望你能原谅我。我爱你，我不想失去你。请给我一个机会，让我弥补我的过错。,,,0
25,爱你一万年,,亲爱的，你知道吗？我对你的爱就像时间一样永恒，一万年也无法衡量。每一天醒来，我都感激上天让我遇见你，和你在一起是我最大的幸福。无论未来发生什么，我都会一直陪伴在你身边，守护你、疼爱你。因为我爱你，永远不变。,,,0
26,我们还是分手吧,,亲爱的，我想我们需要好好谈一谈了。我一直在思考我们的关系，我觉得我们可能不太适合在一起了。我知道这可能会让你感到难过，但我认为我们应该分手。我希望你能理解我的决定，并且我们可以以朋友的身份继续相处。,,,0
27,你很可爱,,亲爱的，你知道吗？每当我看到你的时候，我的心都会跳个不停。你的笑容，你的眼神，都让我感到无比的幸福。我真的很幸运能够遇见你，和你在一起的每一刻都是我生命中最美好的时光。我爱你，我的小可爱。,,,0
28,我好心疼你啊,,宝贝，我好心疼你啊。看到你这么辛苦，我的心都碎了一地。你是我最爱的人，我愿意为你付出一切。无论遇到什么困难，我都会陪在你身边，给你力量和支持。请相信我，一切都会好起来的。我爱你，永远爱你。,,,0
29,对不起,,亲爱的，我知道我错了。我没有意识到我的行为会伤害到你，我感到非常抱歉。请原谅我，我会努力改正自己的错误，让我们的关系更加美好。我爱你。,,,0
30,可以做我女朋友吗,,亲爱的，我一直在想，我们是否可以更进一步，成为彼此的特别存在？你愿意让我成为你的男朋友吗？我会尽我所能，让你每天都感到幸福和被爱。,,,0
31,我只心疼哥哥,,亲爱的哥哥，你知道吗？每次看到你辛苦的样子，我的心都会痛得无法呼吸。我真的很担心你，希望你能好好照顾自己，不要让自己太累了。我会一直在你身边支持你，陪伴你度过每一个难关。我爱你，永远都会。,,,0
32,晚安亲爱的,,亲爱的，今晚的月色真美，就像你的笑容一样温暖。我想你了，希望你也能感受到我的思念。明天我们再一起分享彼此的快乐和烦恼吧。现在，让我用最温柔的声音对你说：晚安，我的爱人。愿你有个甜甜的梦。,,,0
33,媳妇我爱你,,亲爱的，你知道吗？每当我看到你的笑容，我的心都会融化。你是我生命中最重要的人，没有你的日子就像失去了阳光。我想用我全部的热情和爱意来呵护你，陪你走过每一个春夏秋冬。我爱你，永远都不会变。,,,0
34,么么哒,,亲爱的，我想对你说么么哒。每当我看到你的笑容，我的心都会融化。你是我生命中最重要的人，我愿意为你付出一切。我爱你，永远爱你。,,,0
35,想死你了,,亲爱的，你知道吗？我每天都在想你，想得心都疼了。我真的好想你，好想和你在一起。我想听你的声音，看你的笑容，感受你的温暖。我真的好想你，好想你。,,,0
36,谢谢你,,亲爱的，谢谢你一直以来对我的关心和爱护。你总是那么体贴入微，让我感到无比幸福。每当我遇到困难时，你总是在我身边给予我力量和支持。我真的很幸运能够拥有你这样的恋人。我爱你！,,,0
37,我想和你共度余生,,亲爱的，我想和你一起度过余生。每一天醒来，看到你的笑容，感受你的温暖，是我最大的幸福。无论经历什么困难和挑战，我都愿意牵着你的手，共同面对。你是我生命中最重要的人，我愿意用一生的时间去爱你、守护你。让我们一起创造美好的回忆，直到永远。,,,0
38,夸男朋友“真帅！”,,亲爱的，你今天真的好帅啊！每次看到你都觉得我的心都要被你吸引住了。你的五官真是完美无缺，尤其是那双眼睛，简直能让我沉醉其中。你的笑容也是那么迷人，每次看到你笑，我都会忍不住跟着开心起来。总之，你就是我心中最帅的男人，我爱你！,,,0
39,对老公说我爱你,,亲爱的，我想告诉你，我爱你。你是我生命中最重要的人，我的世界因为有你而变得更加美好。每天早上醒来看到你的笑容，我都感到无比幸福。无论遇到什么困难和挑战，我都愿意与你一起面对。你是我最坚强的后盾，也是我最温柔的依靠。谢谢你一直以来对我的支持和爱，我会一直珍惜我们的爱情。我爱你，永远不变。,,,0
40,给爱人认错道歉,,亲爱的，我知道我错了，我真的很抱歉。我没有意识到我的行为会伤害到你，我真的很后悔。我希望你能原谅我，我会努力改正我的错误，不再让你伤心。我爱你，我不想失去你。,,,0
41,好想你,,亲爱的，我好想你啊！每天都想着你的笑容、你的声音，心里总是空落落的。希望我们能快点见面，抱紧你，感受你的温暖。你是我的唯一，我的爱人，我会一直爱你下去。,,,0
42,分手吧,,亲爱的，我想我们需要坐下来好好谈谈。我一直在思考我们的关系，我觉得我们可能不太适合继续下去了。我知道这可能会让你感到痛苦，但我认为这对我们都是最好的决定。我希望你能理解，我真的很珍惜我们曾经的时光。,,,0
43,好吧,,宝贝，我知道你可能有些犹豫或者不确定，但是我愿意给你时间和空间去思考。无论你做出什么决定，我都会尊重并支持你。我爱你，我们的感情不会因为这个而改变。,,,0
44,我们不吵架好不好,,宝贝，我们能不能试着不吵架呢？我知道有时候我们会因为一些小事情而争吵，但是我真的不想这样。我希望我们能够更加理解和包容对方，一起度过每一个美好的时刻。我爱你，希望我们能够一直幸福下去。,,,0
45,想你啦,,亲爱的，你知道吗？我刚刚看到一片云，它的形状让我想起了你的笑容。每次想到你，我的心都会跳得特别快，就像我现在一样。我真的好想你，希望我们能尽快见面。你是我生活中的阳光，没有你，我的世界就会变得暗淡无光。,,,0
46,我对你一见钟情,,亲爱的，当我第一次看到你时，我的心就像被点燃了一样。我无法控制自己的心情，只想一直陪伴在你身边。你的美丽和温柔让我感到无比幸福，我真的很想和你在一起。,,,0
47,期待我们下次见面,,亲爱的，我好期待我们下次见面啊！每次想到能和你在一起，我的心都会跳个不停。我想亲你、抱你，听你温柔的声音，感受你的温暖。你是我的唯一，我的爱人，我的一切。等不及再次见到你了！,,,0
48,以后你要好好照顾自己,,宝贝，我真的很担心你。以后一定要好好照顾自己啊，不要熬夜，多吃饭，多喝水。记得每天保持好心情，开心最重要。我会一直陪在你身边，支持你，爱你。,,,0
49,怎么拒绝别人的表白,,亲爱的，我真的很感激你对我的感情，但我觉得我们之间更适合做朋友。我不想伤害你，希望你能理解我的想法。我们可以继续像以前一样做好朋友吗？,,,0
50,早安宝宝,,亲爱的，早安。希望你的一天充满阳光和快乐。记得吃早餐，保持微笑，因为你的笑容是我一天的动力。我会在你需要的时候陪在你身边，给你力量和支持。我爱你，宝宝。,,,0
51,干嘛呢,,亲爱的，你在干嘛呢？我好想你啊！你在忙工作吗？还是在和朋友聊天呢？不管你在做什么，我都希望你能抽出一点时间来和我聊聊天。我想听听你的声音，想知道你最近过得怎么样。,,,0
52,亲爱的辛苦了,,亲爱的，你今天一定很辛苦吧。看到你这么努力，我真的很心疼。你的付出我都看在眼里，心里也很感激。希望你能好好休息，照顾好自己。我会一直在你身边支持你，陪伴你。爱你！,,,0
53,早点休息吧,,亲爱的，你今天一定很辛苦吧。别忘了照顾好自己哦，早点休息吧。我在这里陪着你，希望你有个甜甜的梦。晚安，我爱你。,,,0
54,早点休息,,亲爱的，你今天一定很累了吧？别忘了早点休息哦。我在这里陪着你，希望你能放松身心，好好休息一下。明天又是新的一天，我们一起迎接它吧！晚安，我爱你。,,,0
